mu,sigma
0.016769726260292668,0.05309304971855873
0.018606465477590713,0.0524010092217107
0.020443205051251093,0.05216971986208635
0.022279944624187243,0.05206822028176831
0.024116684194329645,0.05207233852373442
0.02595342376575784,0.0521406505165266
0.027790163335268774,0.05231934617361647
0.029626902903046426,0.05259123852770359
0.03146364248038366,0.052962155999060484
0.03330038204964003,0.053416401797256444
0.035137121618337985,0.05394944682553142
0.0369738611978967,0.05457557756793073
0.03881060076522092,0.055283806676937
0.040647340342527684,0.05607102403281862
0.04248407990533195,0.05693396424802256
0.044320819487053034,0.05786924966491077
0.046157559039100154,0.058873456559011425
0.04799429861044437,0.059943010408381556
0.04983103819600665,0.06107518249987055
0.05166777776081146,0.0622662258529163
0.0535045173350048,0.06351033249278924
0.05534125690598261,0.06480828915116023
0.057177996477351146,0.06615469160490305
0.059014736055705376,0.06754752083737284
0.06085147561369922,0.06898511603036321
0.06268821519185334,0.07046052998044365
0.06452495477389214,0.0719755528675307
0.06636169435448772,0.07352639331507371
0.068198433920856,0.07511083273028546
0.07003517346977343,0.07672678963999736
0.07187191304309626,0.07837231452905273
0.07370865257396024,0.08004558384159455
0.07554539221574869,0.08174489399864988
0.07738213179954789,0.08346865439618228
0.0792188713565918,0.08521538131275895
0.08105561088523384,0.08698369117743365
0.08289235050793005,0.08877229434488955
0.08472909006751501,0.09057998853412827
0.08656582961401009,0.09240565338673104
0.0884025692076878,0.09424824464917222
0.09023930875926742,0.09610678868337393
0.09207604833225382,0.09798037775307622
0.09391278792261407,0.09986816509668334
0.09574952748748854,0.10176936055453366
0.09758626698444434,0.1037145484932948
0.09942300655850071,0.10560913757046979
0.1012597461880931,0.10754626009289657
0.10309648577470189,0.10949418214886247
0.10493322534911759,0.11145227751879987
0.10676996487854991,0.11342001926830676
0.10860670449175597,0.11539691406561088
0.11044344406368348,0.11779766842633141
0.11228018365995852,0.12171232609427021
0.11411692319415756,0.12706297043827808
0.11595366272133831,0.13367727968633536
0.11779040232859048,0.1413780052615967
0.1196271419358427,0.14999791395956338
0.12146388154309491,0.15938794360225705
0.1233006211503471,0.16942009176114603
0.1251373606249295,0.17998701811829848
